TTH,Survival
0,0
2.296650718,0
3.387559809,0
3,0.193290735
2.397129187,0.282747604
3.401913876,0.488817891
3.488038278,0.536741214
4.004784689,0.531948882
4.090909091,0.624600639
2.684210526,0.926517572
2.784688995,0.913738019
3.086124402,0.913738019
3.488038278,0.849840256
3.674641148,0.880191693
3.832535885,0.880191693
4.894736842,0.837060703
3.61722488,0.979233227
3.90430622,0.961661342
4.105263158,1
4.277511962,1
4.507177033,1
4.693779904,1
5.311004785,0.92971246
5.210526316,0.982428115
5.267942584,1
5.425837321,1
5.583732057,1
10.6076555,1
