reach,year,trout,depth,DO
aho,2009,1,0.9,9.27
aho,2009,1,0.908,8.24
aho,2010,1,0.81,9.99
aho,2011,1,0.86,10.25
aho,2012,1,0.8,8.56
aho,2013,1,0.82,7.2
aho,2014,1,0.94,2.98
aho,2015,0,0.86,2
aho,2016,0,0.85,2.3
aho,2017,1,0.85,8
aho,2018,1,0.85,8
aho,2020,1,0.87,9
ecm,2009,0,0.38,9.82
ecm,2009,0,0.22,2.9
ecm,2010,0,0.41,9.95
ecm,2011,0,0.5,9.93
ecm,2012,0,0.37,9.25
gob,2012,1,0.64,3.5
gob,2013,1,0.53,4
gob,2014,0,0.65,2.5
gob,2015,0,0.55,4
gob,2017,0,0.65,8
myg,2012,1,1.07,8.28
myg,2013,1,1.02,4.8
myg,2014,1,0.99,7.75
myg,2015,1,1.19,8
myg,2016,1,1.22,2.6
myg,2017,1,1,9
myg,2018,1,0.99,9
myg,2020,1,0.86,8
mrn,2009,1,0.4,8.79
bgu,2009,0,0.3,9.7
rau,2009,1,0.7,9.79
ref,2009,0,0.48,9.43
ref,2009,0,0.396,8.37
ref,2010,0,0.43,10.8
ref,2011,0,0.44,9.9
ref,2012,0,0.38,8.86
ref,2013,0,0.35,7.25
ref,2014,0,0.23,5.95
rom,2009,0,0.38,9.53
rom,2009,0,0.366,9.06
rom,2010,0,0.51,9.59
rom,2011,0,0.61,10.36
rom,2012,0,0.61,8.76
rom,2013,0,0.55,5.6
rom,2014,0,0.54,2.82
rom,2015,0,0.58,8
rom,2016,0,0.5,8
rom,2017,0,0.65,9
sau,2009,0,0.37,8.84
sjo,2009,1,0.74,10.17
sjo,2009,1,0.834,8.61
sjo,2010,1,0.97,9.66
sjo,2011,1,0.94,10.3
sjo,2012,1,0.98,8.99
sjo,2013,1,0.94,4.79
sjo,2014,1,0.95,6.75
sjo,2015,1,0.92,8
sjo,2016,0,0.89,5.6
sjo,2017,0,1.01,8
sjo,2018,0,0.95,10
sol,2010,0,0.45,8.46
sol,2012,0,0.49,7.82
sol,2017,0,0.43,9
sou,2009,0,0.82,9.78
sou,2009,0,0.798,8.92
sou,2011,0,0.77,10.18
sou,2013,0,0.43,5.7
sou,2017,0,0.88,9
sou,2018,0,0.92,8
sou,2020,0,0.81,9
sys,2009,1,0.43,9.8
sys,2009,1,0.466,8.92
sys,2010,1,0.62,9.76
sys,2011,1,0.57,10.08
sys,2012,1,0.51,8.7
sys,2013,0,0.48,5.2
sys,2014,0,0.49,3.06
sys,2015,0,0.45,3
sys,2016,0,0.45,1.7
sys,2017,0,0.42,9
taj,2014,0,0.52,4.52
taj,2015,0,0.3,4
taj,2016,0,0.26,2
taj,2017,0,0.65,5
taj,2018,0,0.45,3
